text,text_number,label
"seen that my intention was, to shew them that I could be as useful in the cabinet as in the field. My idea is, to let them see that my attendance is worth soliciting. For myself, I can have nothing; but, for my brother, something may be done. Living with Mr. Addington a good deal; never, in your sense of the word, shall I do it. What, leave my dearest friends, to dine with a minister? Damn me, if I do, beyond what you",15469,1700s
"the spectacle. Mrs. Charmond did not see them, but there was sufficient light for them to discern her outline between the carriage windows. A noticeable feature in her _tournure_ was a magnificent mass of braided locks. “How well she looks this morning!” said Grace, forgetting Mrs. Charmond’s slight in her generous admiration. “Her hair so becomes her worn that way. I have never seen any more beautiful!” “Nor have I, miss,” said Marty, dryly, unconsciously stroking her",482,1800s
"King and the ladies of the Court rode out to take the air in the forest, but the Queen, being a little indisposed did not go; I stayed to wait upon her, and she walked down to the pond-side, and dismissed her gentlemen ushers, that she might be more at liberty. After she had taken a few turns she came up to me, and bid me follow her; 'I would speak with you,' says she, 'and by what I shall say you will see I am your friend.' She stopped here, and looking earnestly at me; 'You are in love,' continued",467,1600s
"assembly, he had published a letter, in which he praised Oudinot for his attack upon the Roman republic; when the National Assembly came to vote on the budget for the Roman expedition, Victor Hugo, out of pretended liberalism, brought up that letter for discussion; the party of Order drowned this notion of Bonaparte’s under exclamations of contempt and incredulity as though notions of Bonaparte could not possibly have any political weight;—and none of",1346,1800s
"some moan. '""Lo, all these trophies of affections hot, Of pensived and subdued desires the tender, Nature hath charged me that I hoard them not, But yield them up where I myself must render- That is, to you, my origin and ender; For these, of force, must your oblations be, Since I their altar, you enpatron me. '""O then advance of yours that phraseless hand Whose white weighs down the airy scale of praise; Take all these similes to your own command, Hallowed with sighs that",1137,1500s
"to pass. And thus upon trust of your short repair to London, I make an end of my letter, my own sweet heart. Written with the hand of him which desireth as much to be yours as you do to have him. H. R. Letter Eighth Anne Boleyn to Wolsey _MY LORD_, in my most humblest wise that my heart can think, I desire you to pardon me that I am so bold to trouble you with my simple and rude writing, esteeming it to proceed from her that is much desirous to know that your grace does well, as I perceive by this bearer that you do,",32155,1400s
"Master Vernon, it is well obiected: If I haue fewest, I subscribe in silence York. And I Vernon. Then for the truth, and plainnesse of the Case, I pluck this pale and Maiden Blossome here, Giuing my Verdict on the white Rose side Som. Prick not your finger as you pluck it off, Least bleeding, you doe paint the white Rose red, And fall on my side so against your will Vernon. If I, my Lord, for my opinion bleed, Opinion shall be Surgeon to my hurt, And keepe me on the side where still I am Som. Well, well, come on, who else? Lawyer. Vnlesse my",2254,1500s
"wenches, how men of merit are sought after. The undeserver may sleep, when the man of action is called on. Farewell, good wenches. If I be not sent away post, I will see you again ere I go. DOLL. I cannot speak; if my heart be not ready to burst—well, sweet Jack, have a care of thyself. FALSTAFF. Farewell, farewell. [_Exeunt Falstaff and Bardolph._] HOSTESS. Well, fare thee well. I have known thee these twenty-nine years, come peascod-time; but an honester and truer-hearted man—well, fare thee well. BARDOLPH. [_Within_.] Mistress",1518,1500s
"great chalk-hill looking towards Shaftesbury, are three or four Celtic barrows, one long and large, pointing east and west: in this hill is a quarry of stone, very full of sea-shells. Not far off, in the parish of Tisbury, near Warder castle, is a great intrenchment in a wood, which was probably a British _oppidum_, and near the river before mentioned. [Sidenote: Carvilii _tumulus_.] Returning, we see upon the highest eminence that overlooks Wilton, and",69657,1600s
"usage and saving my life, I so affect you, that your denyals of your trechery, doe halfe perswade me to mistake my selfe. But if I be the marke you ayme at, here I stand, shoot he that dare. You promised to fraught my Ship ere I departed, and so you shall, or I meane to load her with your dead carcasses, yet if as friends you will come and trade, I once more promise not to trouble you, except you give me the first occasion, and your King shall be free and be my friend, for I am not come to hurt him or any of",56347,1500s
