text,label,book_id
"""Sir, I have rather made it my choice to transcribe all above out of
the letters of Dr. Sanderson, which lie before me, than venture the
loss of my originals by post or carrier, which, though not often, yet
sometimes fail. Make use of as much or as little as you please, of
what I send you from himself (because from his own letters to me) in
the penning of his life, as your own prudence shall direct you: using
my name for your warranty in the account given of him, as much or as
little as you please too. You have a performance of my promise, and an
obedience to your desires from

""Your affectionate

""Humble Servant,

""THO.",1800-1900,13139
"""Some very remarkable discoveries
must have come to light to influence the judgment of two such men as
yourselves."" ""You are right,"" rejoined Mr. Byrd. ""In fact, I should not be surprised
if this case proved to be one of the most remarkable on record. It is
not often that equally convincing evidence of guilt is found against two
men having no apparent connection."" ""And have you collected such evidence?""",1800-1900,31681
"Every missionary to the islands can tell of ""devil dances"" that
take place in secluded groves, and in which, to his great disgust, his
converts often take part. It takes time to turn the savage from his old
beliefs. Although the South Seas constitute the last fortress of
romance, and a mention of the coral atolls immediately conjures up a
vision of palms and rice-white beaches, the sensitive person senses the
dark and bloody past when the wizard men were the rulers, and death
stalked in the palm groves. J.F.D.",1900-2000,10862
"As it
was, they so took him by surprise that he came to the ground, giving so
little heed to his beard that it fell off, and all he could do when he
found himself without it was to cover his face hastily with both his
hands and moan that his teeth were knocked out. Don Quixote when he saw
all that bundle of beard detached, without jaws or blood, from the face
of the fallen squire, exclaimed:

""By the living God, but this is a great miracle! it has knocked off and
plucked away the beard from his face as if it had been shaved off
designedly.""",1600-1700,5913
"I was a joke turned upside down. After they had examined every nook and cranny of the place and had
talked themselves hoarse with delight I called them all up on the
front piazza for the purpose of putting out their lights with my
ghost story. I figured on driving them all back to the depot with about four
paragraphs of creepy talk, so when I had them huddled I began in a
hoarse whisper to raise their hair. I told them that no doubt they had noticed the worried expression
on my face and explained that it was due chiefly to the fact that I
had learned quite by accident that this beautiful place was haunted. Tacks grew so excited that he dropped a garden spade off the piazza
and into a hot house below, breaking seven panes of glass, but the
others only smiled indulgently and I went on.",1900-2000,12609
"""God, by means of a malignant fever that took him,"" answered the
bachelor. ""In that case,"" said Don Quixote, ""the Lord has relieved me of the task
of avenging his death had any other slain him; but, he who slew him
having slain him, there is nothing for it but to be silent, and shrug
one's shoulders; I should do the same were he to slay myself; and I would
have your reverence know that I am a knight of La Mancha, Don Quixote by
name, and it is my business and calling to roam the world righting wrongs
and redressing injuries."" ""I do not know how that about righting wrongs can be,"" said the bachelor,
""for from straight you have made me crooked, leaving me with a broken leg
that will never see itself straight again all the days of its life; and
the injury you have redressed in my case has been to leave me injured in
such a way that I shall remain injured for ever; and the height of
misadventure it was to fall in with you who go in search of adventures."" ""Things do not all happen in the same way,"" answered Don Quixote; ""it all
came, Sir Bachelor Alonzo Lopez, of your going, as you did, by night,
dressed in those surplices, with lighted torches, praying, covered with
mourning, so that naturally you looked like something evil and of the
other world; and so I could not avoid doing my duty in attacking you, and
I should have attacked you even had I known positively that you were the
very devils of hell, for such I certainly believed and took you to be."" ""As my fate has so willed it,"" said the bachelor, ""I entreat you, sir
knight-errant, whose errand has been such an evil one for me, to help me
to get from under this mule that holds one of my legs caught between the
stirrup and the saddle.""",1600-1700,5909
"IN A SERIES OF INSTRUCTIONS TO

         YOUNG PHYSICIANS, SURGEONS, ACCOUCHERS, APOTHECARIES,
                 DRUGGISTS, AND PRACTITIONERS OF EVERY
                  DENOMINATION, IN TOWN AND COUNTRY. INTERSPERSED WITH A VARIETY OF

               RISIBLE ANECDOTES AFFECTING THE FACULTY. INSCRIBED
                        TO THE COLLEGE OF WIGS,
                                  BY
                           GREGORY GLYSTER,
                         AN OLD PRACTITIONER. “TWENTY MORE!",1700-1800,54332
"""I hope not, sir, indeed. But the master's disappeared."" ""Disappeared, has he."" Mr. Barnes smiled slightly.",1800-1900,35902
"_Syl._ Sir, I don't care a farthing for you, nor your bench neither. _Scrup._ Lookye, gentlemen, that's enough; he's a very impudent fellow,
and fit for a soldier. _Scale._ A notorious rogue, I say, and very fit for a soldier.",1700-1800,37012
"Back at the house Uncle Casper was sweeping the broad, marble-laid
porch, keeping time to the swing of the broom with a quavering song. Uncle Casper’s vocal efforts were reserved for such times as he
was certain of being unheard. He had strict ideas of propriety and
considered singing beneath the dignity of his office. That is why, when
he heard a swishing of skirts at the door, he ceased abruptly in the
middle of a bar and muttered objurgations over a wisp of thread which,
caught in a splinter of the lintel, obstinately refused to yield to the
broom.",1900-2000,57497
